round,game,team,points,points_against,opponent,points_diff,home,avgPD,wins,win,draw
1,6,bath,32,16,yorkshire,16,0,0,,1,0
2,9,bath,20,13,irish,7,1,16,,1,0
3,13,bath,10,31,northampton,-21,0,11.5,,0,0
4,19,bath,31,16,sale,15,1,0.666666667,,1,0
5,26,bath,3,18,gloucester,-15,1,4.25,,0,0
6,33,bath,15,21,leicester,-6,0,0.4,,0,0
7,40,bath,6,6,harlequins,0,0,-0.666666667,,0,1
8,48,bath,13,17,saracens,-4,1,-0.571428571,,0,0
9,53,bath,6,11,wasps,-5,1,-1,,0,0
10,63,bath,25,24,irish,1,0,-1.444444444,,1,0
11,68,bath,16,13,yorkshire,3,1,-1.2,,1,0
12,73,bath,19,7,sale,12,0,-0.818181818,,1,0
13,82,bath,38,8,northampton,30,1,0.25,,1,0
14,88,bath,12,9,exeter,3,0,2.538461538,,1,0
15,92,bath,22,34,gloucester,-12,0,2.571428571,,0,0
16,101,bath,6,37,leicester,-31,1,1.6,,0,0
17,107,bath,9,20,saracens,-11,0,-0.4375,,0,0
18,111,bath,26,18,exeter,8,1,-1.058823529,,1,0
19,114,bath,19,15,harlequins,4,1,-0.555555556,,1,0
20,123,bath,43,10,wasps,33,0,-0.315789474,,1,0
21,126,bath,14,11,newcastle,3,0,1.35,,1,0
22,127,bath,42,12,newcastle,30,1,1.428571429,,1,0
1,3,exeter,22,10,gloucester,12,1,0,,1,0
2,11,exeter,27,37,leicester,-10,0,12,,0,0
3,15,exeter,22,17,newcastle,5,1,1,,1,0
4,21,exeter,13,40,harlequins,-27,0,2.333333333,,0,0
5,29,exeter,21,27,northampton,-6,0,-5,,0,0
6,35,exeter,9,12,irish,-3,1,-5.2,,0,0
7,38,exeter,23,9,saracens,14,0,-4.833333333,,1,0
8,45,exeter,15,9,yorkshire,6,1,-2.142857143,,1,0
9,50,exeter,24,19,sale,5,1,-1.125,,1,0
10,57,exeter,12,24,wasps,-12,0,-0.444444444,,0,0
11,66,exeter,15,22,leicester,-7,1,-1.6,,0,0
12,70,exeter,23,37,gloucester,-14,0,-2.090909091,,0,0
13,76,exeter,20,6,harlequins,14,1,-3.083333333,,1,0
14,80,exeter,23,13,newcastle,10,0,-1.769230769,,1,0
15,88,exeter,9,12,bath,-3,1,-0.928571429,,0,0
16,94,exeter,30,9,northampton,21,1,-1.066666667,,1,0
17,100,exeter,17,39,irish,-22,0,0.3125,,0,0
18,109,exeter,22,27,yorkshire,-5,0,-1,,0,0
19,111,exeter,18,26,bath,-8,0,-1.222222222,,0,0
20,115,exeter,12,33,saracens,-21,1,-1.578947368,,0,0
21,120,exeter,30,24,sale,6,0,-2.55,,1,0
22,128,exeter,21,8,wasps,13,1,-2.142857143,,1,0
1,3,gloucester,10,22,exeter,-12,0,0,,0,0
2,10,gloucester,22,21,yorkshire,1,1,-12,,1,0
3,17,gloucester,16,23,irish,-7,0,-5.5,,0,0
4,20,gloucester,22,20,wasps,2,1,-6,,1,0
5,26,gloucester,18,3,bath,15,0,-4,,1,0
6,34,gloucester,33,26,harlequins,7,1,-0.2,,1,0
7,39,gloucester,19,12,leicester,7,1,1,,1,0
8,47,gloucester,6,12,newcastle,-6,0,1.857142857,,0,0
9,52,gloucester,19,13,saracens,6,1,0.875,,1,0
10,61,gloucester,13,15,yorkshire,-2,0,1.444444444,,0,0
11,70,gloucester,37,23,exeter,14,1,1.1,,1,0
12,78,gloucester,10,9,wasps,1,0,2.272727273,,1,0
13,79,gloucester,23,9,irish,14,1,2.166666667,,1,0
14,87,gloucester,18,16,northampton,2,0,3.076923077,,1,0
15,92,gloucester,34,22,bath,12,1,3,,1,0
16,99,gloucester,15,53,harlequins,-38,0,3.6,,0,0
17,105,gloucester,34,9,newcastle,25,1,1,,1,0
18,110,gloucester,31,36,sale,-5,0,2.411764706,,0,0
19,116,gloucester,41,41,leicester,0,0,2,,0,1
20,119,gloucester,27,15,northampton,12,1,1.894736842,,1,0
21,124,gloucester,12,35,saracens,-23,0,2.4,,0,0
22,129,gloucester,68,17,sale,51,1,1.19047619,,1,0
1,4,harlequins,29,29,wasps,0,0,0,,0,1
2,8,harlequins,16,20,northampton,-4,1,0,,0,0
3,14,harlequins,17,21,sale,-4,0,-2,,0,0
4,21,harlequins,40,13,exeter,27,1,-2.666666667,,1,0
5,27,harlequins,23,12,newcastle,11,1,4.75,,1,0
6,34,harlequins,26,33,gloucester,-7,0,6,,0,0
7,40,harlequins,6,6,bath,0,1,3.833333333,,0,1
8,43,harlequins,13,18,leicester,-5,0,3.285714286,,0,0
9,54,harlequins,51,18,yorkshire,33,1,2.25,,1,0
10,56,harlequins,14,26,saracens,-12,0,5.666666667,,0,0
11,60,harlequins,28,18,irish,10,1,3.9,,1,0
12,62,harlequins,16,13,northampton,3,0,4.454545455,,1,0
13,69,harlequins,17,10,wasps,7,1,4.333333333,,1,0
14,76,harlequins,6,20,exeter,-14,0,4.538461538,,0,0
15,81,harlequins,21,9,sale,12,1,3.214285714,,1,0
