,team,points,points_against,opponent,points_diff,win,sale_home,irish_home,exeter_home,wasps_home,northampton_home,yorkshire_home,newcastle_home,harlequins_home,bath_home,gloucester_home,leicester_home,saracens_home,sale,irish,exeter,wasps,northampton,yorkshire,newcastle,harlequins,bath,gloucester,leicester,saracens,newcastle_opp,saracens_opp,gloucester_opp,harlequins_opp,leicester_opp,bath_opp,wasps_opp,northampton_opp,irish_opp,yorkshire_opp,exeter_opp,sale_opp,game,negatives,sale_points,irish_points,exeter_points,wasps_points,northampton_points,yorkshire_points,newcastle_points,harlequins_points,bath_points,gloucester_points,leicester_points,saracens_points,sale_win,irish_win,exeter_win,wasps_win,northampton_win,yorkshire_win,newcastle_win,harlequins_win,bath_win,gloucester_win,leicester_win,saracens_win,round,1011
0,sale,35.0,18.0,newcastle,17.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,35.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1,irish,33.0,16.0,saracens,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,-1,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
2,exeter,22.0,10.0,gloucester,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,-1,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
3,wasps,29.0,29.0,harlequins,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,northampton,27.0,19.0,leicester,8.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
5,yorkshire,16.0,32.0,bath,-16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,32.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,newcastle,29.0,17.0,wasps,12.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,-1,0.0,0.0,0.0,17.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,1
7,harlequins,16.0,20.0,northampton,-4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-1,0.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
8,bath,20.0,13.0,irish,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
9,gloucester,22.0,21.0,yorkshire,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,-1,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,22.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,2,1
