1011,1112,1213,1314,1415,bath,bath_home,bath_opp,exeter,exeter_home,exeter_opp,game,gloucester,gloucester_home,gloucester_opp,harlequins,harlequins_home,harlequins_opp,irish,irish_home,irish_opp,leicester,leicester_home,leicester_opp,newcastle,newcastle_home,newcastle_opp,northampton,northampton_home,northampton_opp,opponent,points,points_against,points_diff,round,sale,sale_home,sale_opp,saracens,saracens_home,saracens_opp,team,wasps,wasps_home,wasps_opp,welsh,welsh_home,welsh_opp,win,worcester,worcester_home,worcester_opp,yorkshire,yorkshire_home,yorkshire_opp
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,35,18,17,1,1,1,0,0,0,0,sale,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,saracens,33,16,17,1,0,0,0,1,0,1,irish,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gloucester,22,10,12,1,0,0,0,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harlequins,29,29,0,1,0,0,0,0,0,0,wasps,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,leicester,27,19,8,1,0,0,0,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bath,16,32,-16,1,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,wasps,29,17,12,2,0,0,0,0,0,0,newcastle,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,16,20,-4,2,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,20,13,7,2,0,0,0,0,0,0,bath,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,22,21,1,2,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,exeter,37,27,10,2,0,0,0,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sale,28,13,15,2,1,0,1,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,bath,31,10,21,3,0,0,0,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harlequins,21,17,4,3,1,1,0,0,0,0,sale,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,22,17,5,3,0,0,0,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,37,30,7,3,0,0,0,0,0,0,wasps,1,1,0,0,0,0,1,0,0,0,0,0,0
