season,round,game,home,team,points,points_against,opponent,points_diff,win,draw,avgPD,avgPD_opp
14_15,1,1,1,northampton,53,6,gloucester,47,1,0,-0.238095238,3.788732394
14_15,1,1,0,gloucester,6,53,northampton,-47,0,0,3.788732394,-0.238095238
14_15,1,2,1,irish,15,20,harlequins,-5,0,0,0.338345865,1.151260504
14_15,1,2,0,harlequins,20,15,irish,5,1,0,1.151260504,0.338345865
14_15,1,3,0,newcastle,17,36,leicester,-19,0,0,1.7239819,0.681818182
14_15,1,3,1,leicester,36,17,newcastle,19,1,0,2.366834171,1.044303797
14_15,1,4,0,wasps,28,34,saracens,-6,0,0,-0.608333333,-0.570247934
14_15,1,4,1,saracens,34,28,wasps,6,1,0,-0.570247934,-0.608333333
14_15,1,5,1,sale,20,29,bath,-9,0,0,-0.665271967,9
14_15,1,5,0,bath,29,20,sale,9,1,0,9,-0.665271967
14_15,1,6,1,welsh,0,52,exeter,-52,0,0,-1.849056604,6.238095238
14_15,1,6,0,exeter,52,0,welsh,52,1,0,6.238095238,-1.849056604
14_15,2,7,0,saracens,39,0,harlequins,39,1,0,-2.040229885,0.337209302
14_15,2,7,1,harlequins,0,39,saracens,-39,0,0,0.337209302,-2.040229885
14_15,2,8,0,leicester,24,20,exeter,4,1,0,0.681818182,14
14_15,2,8,1,exeter,20,24,leicester,-4,0,0,14,2.366834171
14_15,2,9,0,sale,27,34,gloucester,-7,0,0,-1.822335025,3.608695652
14_15,2,9,1,gloucester,34,27,sale,7,1,0,3.608695652,-1.822335025
14_15,2,10,0,welsh,26,53,bath,-27,0,0,-0.708154506,18
14_15,2,10,1,bath,53,26,welsh,27,1,0,18,-0.708154506
14_15,2,11,1,newcastle,18,20,irish,-2,0,0,1.044303797,0.388059701
14_15,2,11,0,irish,20,18,newcastle,2,1,0,0.388059701,2.202072539
14_15,2,12,1,wasps,20,16,northampton,4,1,0,-1.887700535,-1.056521739
14_15,2,12,0,northampton,16,20,wasps,-4,0,0,-1.056521739,-1.887700535
14_15,3,13,1,gloucester,22,25,exeter,-3,0,0,3.731707317,17
14_15,3,13,0,exeter,25,22,gloucester,3,1,0,17,3.731707317
14_15,3,14,0,leicester,0,45,bath,-45,0,0,2.366834171,27
14_15,3,14,1,bath,45,0,leicester,45,1,0,27,-0.712962963
14_15,3,15,0,saracens,36,32,irish,4,1,0,-1.769736842,-1.180952381
14_15,3,15,1,irish,32,36,saracens,-4,0,0,-1.180952381,-1.769736842
14_15,3,16,0,wasps,23,26,harlequins,-3,0,0,-2.075581395,-0.590163934
14_15,3,16,1,harlequins,26,23,wasps,3,1,0,-0.590163934,-2.075581395
14_15,3,17,0,welsh,8,46,sale,-38,0,0,-2.255681818,-1.437788018
14_15,3,17,1,sale,46,8,welsh,38,1,0,-1.437788018,-2.255681818
14_15,3,18,0,northampton,35,10,newcastle,25,1,0,-1.788732394,1.280487805
14_15,3,18,1,newcastle,10,35,northampton,-25,0,0,2.202072539,-1.788732394
14_15,4,19,1,welsh,10,46,gloucester,-36,0,0,-1.90052356,-1.083333333
14_15,4,19,0,gloucester,46,10,welsh,36,1,0,-1.083333333,-1.90052356
14_15,4,20,1,northampton,31,24,bath,7,1,0,-0.643153527,18.5
14_15,4,20,0,bath,24,31,northampton,-7,0,0,18.5,-0.643153527
14_15,4,21,1,saracens,40,19,sale,21,1,0,-1.856435644,-1.671497585
14_15,4,21,0,sale,19,40,saracens,-21,0,0,-1.671497585,-1.856435644
14_15,4,22,1,leicester,19,22,irish,-3,0,0,-0.712962963,-2.466666667
14_15,4,22,0,irish,22,19,leicester,3,1,0,-2.466666667,-0.700854701
14_15,4,23,1,wasps,35,18,newcastle,17,1,0,-1.202797203,2.235897436
