season,game,round,team,home,win,draw,tries,conversions,pens,kick_at_goal,drop_goals,kicks_from_hand,passes,runs,meters_run,clean_breaks,defenders_beat,offloads,rucks,mauls,turns_conceded,tackles,tackle_success,scrums,lineouts,penalties
2014_15,1,1,northampton,1,1,0,8,5 from 8,1 from 1,0.67,0,32,131,115,500,12,17,19,67 from 71 (94.4%),8 from 8 (100.0%),17,104/16,0.87,"3 won, 2 lost (60.0%)","13 won, 2 lost (86.7%)",10 (1)
2014_15,1,1,gloucester,0,0,0,0,0 from 0,2 from 4,0.5,0,18,122,98,279,1,16,13,68 from 73 (93.2%),2 from 2 (100.0%),14,96/17,0.85,"5 won, 3 lost (62.5%)","5 won, 3 lost (62.5%)",9 (1)
2014_15,2,1,irish,1,0,0,0,0 from 0,5 from 6,0.83,0,14,159,128,361,2,13,19,98 from 99 (99.0%),4 from 4 (100.0%),13,94/5,0.95,"5 won, 1 lost (83.3%)","12 won, 1 lost (92.3%)",13 (1)
2014_15,2,1,harlequins,0,1,0,2,2 from 2,2 from 6,0.5,0,21,115,90,305,2,5,10,58 from 61 (95.1%),8 from 12 (66.7%),9,134/13,0.91,"5 won, 2 lost (71.4%)","10 won, 0 lost (100.0%)",17 (1)
2014_15,3,1,leicester,1,1,0,4,2 from 4,4 from 4,0.75,0,28,100,83,426,5,9,8,49 from 52 (94.2%),0 from 0,10,118/24,0.83,"10 won, 1 lost (90.9%)","11 won, 1 lost (91.7%)",10
2014_15,3,1,newcastle,0,0,0,2,2 from 2,1 from 1,1,0,17,168,136,558,12,24,12,71 from 76 (93.4%),0 from 0,17,85/9,0.9,"3 won, 3 lost (50.0%)","13 won, 4 lost (76.5%)",13
2014_15,4,1,saracens,1,1,0,4,4 from 4,2 from 4,0.75,0,35,97,88,362,4,7,6,63 from 67 (94.0%),4 from 4 (100.0%),9,130/23,0.85,"8 won, 1 lost (88.9%)","11 won, 2 lost (84.6%)",8 (1)
2014_15,4,1,wasps,0,0,0,3,2 from 3,3 from 3,0.83,0,33,123,121,424,10,23,10,90 from 94 (95.7%),3 from 4 (75.0%),13,95/7,0.93,"3 won, 0 lost (100.0%)","13 won, 1 lost (92.9%)",8 (0)
2014_15,5,1,sale,1,0,0,2,2 from 2,2 from 2,1,0,34,144,117,403,5,14,10,76 from 80 (95.0%),0 from 0,14,69/15,0.82,"3 won, 3 lost (50.0%)","9 won, 1 lost (90.0%)",12
2014_15,5,1,bath,0,1,0,2,2 from 2,5 from 5,1,0 (1 missed),33,105,76,325,5,15,4,43 from 45 (95.6%),0 from 0,15,135/14,0.91,"5 won, 3 lost (62.5%)","13 won, 3 lost (81.2%)",7
2014_15,6,1,welsh,1,0,0,0,0 from 0,0 from 2,0,0,31,157,97,283,1,16,11,78 from 80 (97.5%),3 from 4 (75.0%),13,64/22,0.74,"7 won, 1 lost (87.5%)","13 won, 6 lost (68.4%)",6 (1)
2014_15,6,1,exeter,0,1,0,7,7 from 7,1 from 1,1,0,23,134,103,766,14,22,18,55 from 60 (91.7%),3 from 4 (75.0%),13,109/16,0.87,"1 won, 2 lost (33.3%)","10 won, 2 lost (83.3%)",14 (1)
2014_15,7,2,harlequins,1,0,0,0,0 from 0,0 from 2,0,0,13,129,109,268,3,22,10,75 from 81 (92.6%),9 from 10 (90.0%),20,53/5,0.91,"5 won, 2 lost (71.4%)","20 won, 2 lost (90.9%)",12 (0)
2014_15,7,2,saracens,0,1,0,3,3 from 3,6 from 6,1,0,26,55,56,201,7,5,3,38 from 41 (92.7%),3 from 4 (75.0%),11,123/22,0.85,"4 won, 2 lost (66.7%)","9 won, 2 lost (81.8%)",14 (1)
2014_15,8,2,exeter,1,0,0,2,2 from 2,2 from 2,1,0,26,82,84,300,5,25,7,45 from 50 (90.0%),6 from 8 (75.0%),13,78/11,0.88,"6 won, 0 lost (100.0%)","18 won, 5 lost (78.3%)",9 (2)
2014_15,8,2,leicester,0,1,0,2,1 from 2,4 from 4,0.83,0,35,98,90,270,8,11,9,54 from 56 (96.4%),8 from 8 (100.0%),10,82/25,0.77,"8 won, 2 lost (80.0%)","10 won, 0 lost (100.0%)",9 (0)
2014_15,9,2,gloucester,1,1,0,3 (1 penalty try),2 from 3,5 from 6,0.78,0,27,121,94,382,3,18,9,64 from 70 (91.4%),0 from 0,13,108/16,0.87,"7 won, 1 lost (87.5%)","9 won, 3 lost (75.0%)",10
2014_15,9,2,sale,0,0,0,4,2 from 4,1 from 1,0.6,0,22,108,88,405,7,16,7,61 from 65 (93.8%),0 from 0,15,117/18,0.87,"2 won, 2 lost (50.0%)","9 won, 8 lost (52.9%)",11
2014_15,10,2,bath,1,1,0,7,6 from 7,2 from 2,0.89,0,18,186,146,652,14,24,14,84 from 90 (93.3%),0 from 0,15,90/18,0.83,"2 won, 0 lost (100.0%)","12 won, 1 lost (92.3%)",11
2014_15,10,2,welsh,0,0,0,4,3 from 4,0 from 1,0.6,0,13,121,96,387,11,18,14,53 from 55 (96.4%),0 from 0,10,133/24,0.85,"5 won, 5 lost (50.0%)","10 won, 6 lost (62.5%)",11
2014_15,11,2,newcastle,1,0,0,3,0 from 3,1 from 4,0.14,0,21,205,132,447,8,16,13,96 from 102 (94.1%),0 from 0,10,103/15,0.87,"5 won, 2 lost (71.4%)","13 won, 1 lost (92.9%)",12
2014_15,11,2,irish,0,1,0,2,2 from 2,2 from 3,0.8,0,18,130,105,348,9,15,15,65 from 71 (91.5%),0 from 0,12,133/16,0.89,"3 won, 2 lost (60.0%)","12 won, 0 lost (100.0%)",14
2014_15,12,2,wasps,1,1,0,2,2 from 2,2 from 3,0.8,0 (1 missed),25,98,76,228,3,11,5,57 from 61 (93.4%),4 from 5 (80.0%),11,111/14,0.89,"5 won, 1 lost (83.3%)","12 won, 3 lost (80.0%)",17
2014_15,12,2,northampton,0,0,0,1,1 from 1,3 from 4,0.8,0,27,131,110,338,3,14,10,78 from 82 (95.1%),12 from 15 (80.0%),11,71/11,0.87,"5 won, 1 lost (83.3%)","17 won, 1 lost (94.4%)",10
2014_15,13,3,gloucester,1,0,0,3,2 from 3,1 from 2,0.6,0,31,137,138,385,6,27,12,97 from 97 (100.0%),7 from 7 (100.0%),18,97/18,0.84,"7 won, 1 lost (87.5%)","15 won, 1 lost (93.8%)",9
2014_15,13,3,exeter,0,1,0,1,1 from 1,6 from 8,0.78,0,35,119,119,468,7,18,9,72 from 73 (98.6%),2 from 2 (100.0%),18,140/27,0.84,"7 won, 0 lost (100.0%)","7 won, 0 lost (100.0%)",7
2014_15,14,3,bath,1,1,0,5,4 from 5,3 from 3,0.88,1,22,134,100,677,19,23,14,58 from 61 (95.1%),4 from 4 (100.0%),16,132/11,0.92,"2 won, 0 lost (100.0%)","12 won, 2 lost (85.7%)",7 (3)
2014_15,14,3,leicester,0,0,0,0,0 from 0,0 from 0,0,0,24,165,107,316,2,11,10,79 from 84 (94.0%),5 from 8 (62.5%),9,98/23,0.81,"5 won, 3 lost (62.5%)","16 won, 0 lost (100.0%)",12 (0)
2014_15,15,3,irish,1,0,0,4,3 from 4,2 from 5,0.56,0,27,70,74,237,7,16,6,41 from 42 (97.6%),0 from 0,8,56/9,0.86,"2 won, 4 lost (33.3%)","10 won, 1 lost (90.9%)",12
2014_15,15,3,saracens,0,1,0,3,3 from 3,5 from 8,0.73,0,21,60,77,376,4,9,4,35 from 40 (87.5%),0 from 0,7,56/16,0.78,"4 won, 2 lost (66.7%)","9 won, 0 lost (100.0%)",8
2014_15,16,3,harlequins,1,1,0,2 (1 penalty try),2 from 2,3 from 4,0.83,1,28,132,110,414,3,12,8,76 from 80 (95.0%),0 from 0,15,96/25,0.79,"10 won, 0 lost (100.0%)","12 won, 1 lost (92.3%)",10
2014_15,16,3,wasps,0,0,0,3,1 from 3,2 from 3,0.5,0,24,122,89,353,10,25,6,65 from 67 (97.0%),0 from 0,15,111/12,0.9,"4 won, 0 lost (100.0%)","13 won, 3 lost (81.2%)",10
2014_15,17,3,sale,1,1,0,6,5 from 6,2 from 2,0.88,0,21,170,124,583,16,27,10,83 from 86 (96.5%),0 from 0,15,62/9,0.87,"7 won, 0 lost (100.0%)","13 won, 5 lost (72.2%)",11
2014_15,17,3,welsh,0,0,0,1,0 from 1,1 from 2,0.33,0,22,110,66,199,2,9,5,43 from 48 (89.6%),0 from 0,15,109/27,0.8,"9 won, 0 lost (100.0%)","10 won, 3 lost (76.9%)",11
